No,Operator,Product,Description,Normal Price,Price,Discount
140,Tri,Happy 3GB 30 hari,"""Kuota 3GB (semua jaringan 24 jam), masa aktif 30 hari. Pembelian lebih dari satu kali atau Paket Happy Lainnya, sisa kuota akan reset dan tergantikan oleh Paket Happy yang terbaru. Berhenti berlangganan ketik STOP BULANAN kirim ke 234""",14500,14500,0
141,Axis,AIGO Bronet 24Jam 1GB 30hr,"Kuota Utama 1GB, Kuota Lokal mulai 0,5GB berlaku di area tertentu, masa aktif paket 30hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet 30hari tidak berlaku perpanjangan",16000,16000,0
142,Telkomsel,"Telkomsel Data Flash 1GB, 7Hr"," Kuota utama 1GB, masa aktif 7 Hari",24280,24280,0
143,Tri,AON 2.5GB,"Kuota AlwaysOn = 2.5GB, aktif selamanya (mengikuti masa aktif kartu).Menambah masa aktif kartu 90 hari. Maksimal masa aktif kartu 365 hari.",15400,15400,0
144,Tri,Paket Bebas Bicara 60 Menit,60 Menit (24 jam ke Semua Operator di Indonesia) Masa Berlaku: 30 hari (Sampai Pukul 23.59) Perpanjangan Otomatis: Ya Berhenti Perpanjangan: SMS ketik STOP(spasi)ANYNET ke 123,15500,15500,0
145,Tri,"PAKET DATA THREE 2,5 GB 24JAM MASA AKTIF 14 HARI","PAKET DATA THREE 2,5 GB 24JAM MASA AKTIF 14 HARI",15750,15750,0
146,Telkomsel,Paket Data Zoom 1 Hari,"Kuota Internet ZOOM 500Mb, masa aktif 1 hari",15125,15125,0
147,Indosat,Freedom Internet 2GB / 30 Hari + Bonus Kuota Zona Hingga 2GB,"• Kuota Utama 2GB, masa aktif 30 hari • Bonus tambahan kuota zona hingga 2GB, jika registrasi paket di zona kuota plus Freedom Internet. Info im3.do/kuotaplusec • Baru! Nelpon sepuasnya ke sesama IM3 & Tri, suara lebih jernih didukung jaringan VoLTE • Pembelian paket akan menggantikan paket yg masih aktif",17750,17750,0
148,Axis,AIGO Bronet Mini 2GB 7hr,"Kuota Utama 2GB, Kuota Lokal mulai 1GB dan Bonus kuota video/sosmed/games di area tertentu, masa aktif paket 7hari. Cek Kuota Utama/Lokal/sisa kuota di AXISnet. Unduh AXISnet dari Google Play atau Apple Store. Bronet Mini tidak berlaku perpanjangan",18400,18400,0
149,Tri,AON 3.5GB,"Kuota AlwaysOn = 3.5GB, aktif selamanya (mengikuti masa aktif kartu). Menambah masa aktif kartu 90 hari. Maksimal masa aktif kartu 365 hari.",20125,20125,0
